,Dataset,RotF,DTW-1NN,ST,LS,FS,COTE,BSPCOVER,ResNet,ROCKET,baseline1,DDPS1,DDPSm1,baseline2,DDPS2,DDPSm2,baseline3,DDPS3,DDPSm3,baseline3_k,DDPS3_k,DDPSm3_k
22,FaceFour,0.8182,0.8977,0.8523,0.9659,0.9091,0.8977,0.9659,0.9545,0.9314,1,1,1,0.9773,1,0.9886,0.9773,0.9773,1,1,5,3
23,FacesUCR,0.8029,0.9078,0.9059,0.939,0.7059,0.9424,0.7829,0.958,0.9713,0.9112,0.8824,0.9195,0.8546,0.7898,0.8517,0.9083,0.8649,0.9054,16,12,3
24,FiftyWords,0.6615,0.7648,0.7055,0.7297,0.4813,0.7978,0.7538,0.7429,0.8251,0.6484,0.6198,0.7209,0.6791,0.6132,0.6967,0.6484,0.6066,0.7121,1,5,3
25,Fish,0.8286,0.8343,0.9886,0.96,0.7829,0.9829,0.92,0.9829,0.9741,0.9257,0.9429,0.9543,0.8686,0.9029,0.9086,0.92,0.9314,0.96,5,9,20
26,GunPoint,0.92,0.9133,1,1,0.9467,1,1,0.9933,0.992,0.98,0.9867,1,0.9733,0.9667,0.9933,0.9667,0.9467,1,1,3,3
27,Ham,0.7143,0.6,0.6857,0.6667,0.6476,0.6476,0.7619,0.7524,0.8552,0.581,0.6667,0.6952,0.6,0.6381,0.6286,0.5905,0.7333,0.6667,4,6,5
28,Herring,0.6563,0.5313,0.6719,0.625,0.5313,0.625,0.7031,0.6094,0.625,0.5625,0.5156,0.6406,0.6563,0.5781,0.625,0.6406,0.5938,0.6406,2,7,15
29,InlineSkate,0.3709,0.3873,0.3727,0.4382,0.1891,0.4945,0.3873,0.3782,0.4379,0.2636,0.3255,0.3236,0.2836,0.3145,0.24,0.2764,0.2836,0.3055,13,17,12
30,InsectWingbeatSound,0.6364,0.5737,0.6268,0.6061,0.4894,0.6525,0.5742,0.5,0.6567,0.597,0.6162,0.6187,0.5783,0.5778,0.5808,0.5874,0.5843,0.6051,6,4,6
31,ItalyPowerDemand,0.9728,0.9553,0.9475,0.9602,0.9174,0.9611,0.965,0.9621,0.9616,0.9417,0.9563,0.9456,0.9291,0.9271,0.9145,0.9339,0.9329,0.9427,6,1,4
32,LargeKitchenAppliances,0.608,0.7947,0.8587,0.7013,0.56,0.8453,0.8613,0.904,0.93,0.68,0.8453,0.8773,0.64,0.8187,0.8347,0.672,0.8267,0.8747,8,7,11
33,Lightning2,0.6885,0.8689,0.7377,0.8197,0.7049,0.8689,0.9016,0.7869,0.7765,0.6712,0.7397,0.7808,0.7213,0.5738,0.6557,0.7213,0.7049,0.623,7,13,8
34,Lightning7,0.726,0.7123,0.726,0.7945,0.6438,0.8082,0.7123,0.8082,0.7977,0.6301,0.6986,0.7397,0.6712,0.5616,0.6849,0.6027,0.6849,0.7808,3,12,6
35,Mallat,0.9493,0.9143,0.9642,0.9501,0.9761,0.9539,0.768,0.9697,0.9572,0.7936,0.9151,0.9591,0.8486,0.8934,0.9731,0.8247,0.9006,0.8712,3,14,6
36,Meat,0.9667,0.9333,0.85,0.7333,0.8333,0.9167,0.75,1,0.9889,0.85,0.8,0.9,0.8333,0.8833,1,0.8167,0.9167,0.85,10,2,4
37,MedicalImages,0.7724,0.7474,0.6697,0.6645,0.6237,0.7579,0.7209,0.7671,0.8051,0.6618,0.6342,0.6895,0.6579,0.5974,0.6566,0.6566,0.6092,0.675,4,8,14
38,MiddlePhalanxOutlineCorrect,0.8007,0.7663,0.7938,0.7801,0.7285,0.8041,0.6467,0.8247,0.8345,0.6357,0.5704,0.5911,0.5945,0.5704,0.5601,0.5911,0.5704,0.5876,10,2,8
39,MiddlePhalanxOutlineAgeGroup,0.5714,0.5195,0.6429,0.5714,0.5455,0.6364,0.805,0.5455,0.7108,0.5714,0.6169,0.5844,0.526,0.5649,0.5195,0.5844,0.5974,0.5974,3,5,4
40,MiddlePhalanxTW,0.6299,0.5065,0.5195,0.5065,0.5325,0.5714,0.6316,0.487,0.5898,0.5584,0.5779,0.5649,0.5714,0.5455,0.5325,0.5844,0.5909,0.5649,2,3,4
41,MoteStrain,0.8802,0.8658,0.897,0.8834,0.7772,0.9369,0.9107,0.9161,0.9055,0.8978,0.8954,0.9313,0.8858,0.8786,0.9002,0.8674,0.8626,0.8986,1,1,3
42,OliveOil,0.8667,0.8667,0.9,0.1667,0.7333,0.9,0.8333,0.7667,0.9022,0.9333,0.8667,0.8667,0.8667,0.8333,0.7667,0.9,0.8667,0.9,7,12,12
43,OSULeaf,0.5702,0.5992,0.9669,0.7769,0.6777,0.9669,0.8388,0.9876,0.9387,0.7975,0.8967,0.9339,0.7397,0.781,0.8388,0.7851,0.8884,0.9256,5,13,20
44,PhalangesOutlinesCorrect,0.8601,0.7611,0.7634,0.7646,0.7436,0.7704,0.7844,0.8438,0.8447,0.6748,0.6131,0.6748,0.6154,0.6131,0.6317,0.6667,0.6131,0.6678,7,1,4
45,Phoneme,0.1297,0.2268,0.3207,0.2184,0.1735,0.3492,0.2073,0.3397,0.2751,0.3101,0.2964,0.3117,0.2975,0.2563,0.3101,0.3133,0.2859,0.3117,8,7,2
46,Plane,0.9905,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2
47,ProximalPhalanxOutlineCorrect,0.8625,0.7904,0.8832,0.8488,0.8041,0.8694,0.8454,0.9107,0.8993,0.8351,0.8351,0.8729,0.7766,0.7801,0.7835,0.8419,0.811,0.8454,14,6,9
