,dataset,Train ,Test ,Class,Length,prototypeMP,DDPS,DDPSt,DDPSm,DDPS improve,DDPSt improve,DDPSm improve
51,OliveOil,30,30,4,570,2763.940551,3006.718553,1960.852554,4067.869951,0.91925483,1.409560625,0.679456469
52,Trace,100,100,4,275,3878.762569,3369.646329,2380.047303,4645.296573,1.151088924,1.629699781,0.834987069
53,Car,60,60,4,577,6133.791527,6581.523377,5292.909628,9188.19647,0.931971396,1.158869499,0.667572961
54,Rock,20,50,4,2844,11335.86405,12230.6325,9297.569451,15528.09663,0.926842013,1.219228758,0.730022766
55,CinCECGTorso,40,1380,4,1639,18277.83626,19618.82319,16671.16297,23443.7814,0.931647942,1.096374398,0.779645397
56,ChlorineConcentration,467,3840,3,166,15091.12888,13426.63898,12792.92799,17678.83466,1.123969216,1.179646199,0.853626903
57,LargeKitchenAppliances,375,375,3,720,205611.3836,255313.932,225119.8373,259992.2474,0.805327708,0.913341916,0.790836595
58,SmallKitchenAppliances,375,375,3,720,321850.2505,250664.6276,252856.0802,293131.4626,1.283987508,1.272859447,1.097972383
59,ScreenType,375,375,3,720,323493.4776,261406.3144,215838.4311,271497.3849,1.237512102,1.49877608,1.191515998
60,RefrigerationDevices,375,375,3,720,241428.3828,268659.604,203363.5444,272268.6656,0.898640433,1.187176313,0.88672849
61,TwoPatterns,1000,4000,4,128,103654.5889,25179.81227,49091.09758,59269.77894,4.116575127,2.111474259,1.74886073
62,Beef,30,30,5,470,1705.325691,1478.730656,1001.047556,2172.897291,1.153236179,1.703541136,0.78481652
63,SyntheticControl,300,300,6,60,978.1685488,324.3730991,221.9901364,398.3385208,3.015566184,4.406360412,2.455621281
64,Symbols,25,995,6,398,1263.183265,1215.338609,793.5645254,1553.811616,1.039367346,1.591783937,0.812957794
65,MiddlePhalanxTW,399,154,6,80,2736.464322,1748.274494,1203.816622,1995.753423,1.565237228,2.273157117,1.371143494
66,ProximalPhalanxTW,400,205,6,80,2747.127117,1744.748737,1249.752185,2114.181089,1.574511595,2.198137478,1.29938118
67,DistalPhalanxTW,400,139,6,80,2860.839893,1705.173261,1336.375915,2257.120868,1.677741469,2.140744876,1.26747306
68,GesturePebbleZ1,132,172,6,Vary,16301.19897,15388.73407,12691.64683,17140.83144,1.059294345,1.284403765,0.951015651
69,GesturePebbleZ2,146,158,6,Vary,22047.07213,18994.82531,14538.30339,19345.59465,1.160688333,1.516481775,1.139643031
70,OSULeaf,200,242,6,427,23348.18262,21035.60483,15092.46946,22395.22946,1.109936358,1.547008771,1.042551614
71,Plane,105,105,7,144,1298.067097,583.4235754,382.9832036,780.1692316,2.224913684,3.389357769,1.663827595
72,DodgerLoopDay,78,80,7,288,3113.447243,2420.013082,1917.599403,2826.643654,1.286541493,1.623617132,1.10146436
73,Lightning7,70,73,7,319,4038.007872,3215.994619,2311.533044,3835.917067,1.255601564,1.746896019,1.052683831
74,Fish,175,175,7,463,16913.64616,15187.39809,13235.05167,18330.14383,1.113663187,1.277943342,0.922723047
75,Mallat,55,2345,8,1024,13820.82509,10994.52356,8801.303726,12442.04695,1.257064484,1.570315662,1.110816021
